ordinal,kind,section,depth,title,menu_path,node_id,parent_id,is_leaf,has_children,has_document,slug,url,label_no
13,document,入门,4,HAR,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAR,000201786024251633621d89e1691543,000201786024251633607f38398adf78,True,False,True,har-package,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-package,
14,document,入门,4,HSP,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HSP,00020178602425163362209b89e8d53c,000201786024251633607f38398adf78,True,False,True,in-app-hsp,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/in-app-hsp,
15,document-branch,入门,3,应用程序包安装卸载与更新,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包安装卸载与更新,000201786024251633611678b65fc885,000201786024251633586cd96db920fb,False,True,True,application-package-install,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-install,
16,document,入门,4,应用安装卸载与更新开发指导,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包安装卸载与更新 > 应用安装卸载与更新开发指导,00020178602425163361980932b4f705,000201786024251633611678b65fc885,True,False,True,application-package-install-uninstall,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-install-uninstall,
17,document,入门,4,应用安装与更新一致性校验,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包安装卸载与更新 > 应用安装与更新一致性校验,00020178602425163362039ebbe714ec,000201786024251633611678b65fc885,True,False,True,install-and-update-consistency-verification,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/install-and-update-consistency-verification,
18,document-branch,入门,2,应用配置文件,入门 > 基础入门 > 开发基础知识 > 应用配置文件,00020178602425163358803adbe875cd,000201786024251633580ffa06022936,False,True,True,application-configuration-file-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-configuration-file-stage,
19,document,入门,3,应用配置文件概述,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > 应用配置文件概述,0002017860242516336008ada2ca405b,00020178602425163358803adbe875cd,True,False,True,application-configuration-file-overview-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-configuration-file-overview-stage,
20,document,入门,3,app.json5配置文件,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > app.json5配置文件,000201786024251633602c371fa40c3b,00020178602425163358803adbe875cd,True,False,True,app-configuration-file,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-configuration-file,
21,document,入门,3,module.json5配置文件,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > module.json5配置文件,0002017860242516336085ff0f86c1b9,00020178602425163358803adbe875cd,True,False,True,module-configuration-file,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/module-configuration-file,
22,document-branch,入门,2,典型场景的开发指导,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导,000201786024251633591c5974562d73,000201786024251633580ffa06022936,False,True,True,application-typical-scenarios,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-typical-scenarios,
23,document,入门,3,创建应用静态快捷方式,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 创建应用静态快捷方式,000201786024251633598e52d4f0ceae,000201786024251633591c5974562d73,True,False,True,typical-scenario-configuration,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/typical-scenario-configuration,
24,document,入门,3,创建应用分身,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 创建应用分身,000201786024251633605ef8e733ed38,000201786024251633591c5974562d73,True,False,True,app-clone,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-clone,
25,document,入门,3,创建应用多实例,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 创建应用多实例,0002017860242516336094e082e355b6,000201786024251633591c5974562d73,True,False,True,multiinstance,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/multiinstance,
26,document,入门,3,配置应用图标和名称,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 配置应用图标和名称,0002017860242516336123e26a9c95fa,000201786024251633591c5974562d73,True,False,True,layered-image,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/layered-image,
27,document,入门,3,HAR转HSP指导,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > HAR转HSP指导,00020178602425163361326689a6d4bc,000201786024251633591c5974562d73,True,False,True,har-to-hsp,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-to-hsp,
28,document,入门,3,HSP转HAR指导,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > HSP转HAR指导,000201786024251633614e7536c31732,000201786024251633591c5974562d73,True,False,True,hsp-to-har,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hsp-to-har,
29,document,入门,3,HAP转HAR指导,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > HAP转HAR指导,000201786024251633615e7c91e3d5d7,000201786024251633591c5974562d73,True,False,True,hap-to-har,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hap-to-har,
30,document,入门,3,集成态HSP,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 集成态HSP,000201786024251633616866b3559bd6,000201786024251633591c5974562d73,True,False,True,integrated-hsp,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/integrated-hsp,
31,document,入门,3,应用程序包集成bin文件（PC/2in1）,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 应用程序包集成bin文件（PC/2in1）,00020178602425163361761d3e98359a,000201786024251633591c5974562d73,True,False,True,hap-bin,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hap-bin,
32,document,入门,2,应用程序包常见问题,入门 > 基础入门 > 开发基础知识 > 应用程序包常见问题,000201786024251633593956655d26b4,000201786024251633580ffa06022936,True,False,True,common-problem-of-application,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/common-problem-of-application,
33,document,入门,2,应用程序包术语,入门 > 基础入门 > 开发基础知识 > 应用程序包术语,000201786024251633594bd6e18c0456,000201786024251633580ffa06022936,True,False,True,application-package-glossary,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-glossary,
34,document,入门,1,资源分类与访问,入门 > 基础入门 > 资源分类与访问,0002017860242516335815d257303dff,0002017860242516335775245dc981a4,True,False,True,resource-categories-and-access,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/resource-categories-and-access,
35,document-branch,入门,1,学习ArkTS语言,入门 > 基础入门 > 学习ArkTS语言,000201786024251633582ee0a157e9ba,0002017860242516335775245dc981a4,False,True,True,learning-arkts,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/learning-arkts,
36,document,入门,2,初识ArkTS语言,入门 > 基础入门 > 学习ArkTS语言 > 初识ArkTS语言,000201786024251633584ca97e9852b6,000201786024251633582ee0a157e9ba,True,False,True,arkts-get-started,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/arkts-get-started,
37,document,入门,2,ArkTS语言介绍,入门 > 基础入门 > 学习ArkTS语言 > ArkTS语言介绍,000201786024251633587d4e340f24d5,000201786024251633582ee0a157e9ba,True,False,True,introduction-to-arkts,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/introduction-to-arkts,
38,document,入门,2,ArkTS编程规范,入门 > 基础入门 > 学习ArkTS语言 > ArkTS编程规范,000201786024251633590dbbfcfda806,000201786024251633582ee0a157e9ba,True,False,True,arkts-coding-style-guide,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/arkts-coding-style-guide,
39,document-branch,入门,2,从TypeScript到ArkTS的适配指导,入门 > 基础入门 > 学习ArkTS语言 > 从TypeScript到ArkTS的适配指导,00020178602425163359289ca0b4d57c,000201786024251633582ee0a157e9ba,False,True,True,typescript-to-arkts-migration,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/typescript-to-arkts-migration,
40,document,入门,3,ArkTS语法适配背景,入门 > 基础入门 > 学习ArkTS语言 > 从TypeScript到ArkTS的适配指导 > ArkTS语法适配背景,000201786024251633601745b5dbeb71,00020178602425163359289ca0b4d57c,True,False,True,arkts-migration-background,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/arkts-migration-background,
41,document,入门,3,从TypeScript到ArkTS的适配规则,入门 > 基础入门 > 学习ArkTS语言 > 从TypeScript到ArkTS的适配指导 > 从TypeScript到ArkTS的适配规则,00020178602425163360493e179989fe,00020178602425163359289ca0b4d57c,True,False,True,typescript-to-arkts-migration-guide,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/typescript-to-arkts-migration-guide,
42,document,入门,3,适配指导案例,入门 > 基础入门 > 学习ArkTS语言 > 从TypeScript到ArkTS的适配指导 > 适配指导案例,000201786024251633610d507b73281d,00020178602425163359289ca0b4d57c,True,False,True,arkts-more-cases,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/arkts-more-cases,
43,document,入门,2,ArkTS高性能编程实践,入门 > 基础入门 > 学习ArkTS语言 > ArkTS高性能编程实践,0002017860242516335959f36f48d862,000201786024251633582ee0a157e9ba,True,False,True,arkts-high-performance-programming,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/arkts-high-performance-programming,
44,document-branch,入门,2,面向其他语言的ArkTS迁移指导,入门 > 基础入门 > 学习ArkTS语言 > 面向其他语言的ArkTS迁移指导,0002017860242516335969761ebc5f31,000201786024251633582ee0a157e9ba,False,True,True,arkts-for-other-languages,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/arkts-for-other-languages,
45,document,入门,3,从Java到ArkTS的迁移指导,入门 > 基础入门 > 学习ArkTS语言 > 面向其他语言的ArkTS迁移指导 > 从Java到ArkTS的迁移指导,000201786024251633599323fd0e2d6b,0002017860242516335969761ebc5f31,True,False,True,getting-started-with-arkts-for-java-programmers,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/getting-started-with-arkts-for-java-programmers,
46,document,入门,3,从Swift到ArkTS的迁移指导,入门 > 基础入门 > 学习ArkTS语言 > 面向其他语言的ArkTS迁移指导 > 从Swift到ArkTS的迁移指导,0002017860242516336031d0709d40ca,0002017860242516335969761ebc5f31,True,False,True,getting-started-with-arkts-for-swift-programmers,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/getting-started-with-arkts-for-swift-programmers,
47,document,入门,1,HarmonyOS术语,入门 > 基础入门 > HarmonyOS术语,000201786024251633583ef286518c0f,0002017860242516335775245dc981a4,True,False,True,glossary,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/glossary,
48,section,开发,-1,开发,开发,section:02817aa7ec2c4c929b1227cebe934065,,False,True,False,,,02817aa7ec2c4c929b1227cebe934065
49,group,开发,0,应用开发准备,开发 > 应用开发准备,0002017860243406982965b42e79234c,,False,True,False,,,02817aa7ec2c4c929b1227cebe934065
50,document,开发,1,应用开发准备,开发 > 应用开发准备 > 应用开发准备,000201786024340698297b093293879c,0002017860243406982965b42e79234c,True,False,True,application-dev-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-dev-overview,
51,group,开发,0,应用框架,开发 > 应用框架,000201786024743831606755a88c2226,,False,True,False,,,02817aa7ec2c4c929b1227cebe934065
52,document-branch,开发,1,Ability Kit（程序框架服务）,开发 > 应用框架 > Ability Kit（程序框架服务）,00020178602474383260717ead1c20b4,000201786024743831606755a88c2226,False,True,True,ability-kit,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/ability-kit,
53,document,开发,2,Ability Kit简介,开发 > 应用框架 > Ability Kit（程序框架服务） > Ability Kit简介,00020178602474383263460ad5ec4304,00020178602474383260717ead1c20b4,True,False,True,abilitykit-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/abilitykit-overview,
54,document-branch,开发,2,应用模型,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型,0002017860247438326490adb5c50343,00020178602474383260717ead1c20b4,False,True,True,application-models,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-models,
55,document,开发,3,应用模型概述,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用模型概述,000201786024743832770f73ea7e7ecc,0002017860247438326490adb5c50343,True,False,True,stage-model-development-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/stage-model-development-overview,
56,document-branch,开发,3,应用组件,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件,000201786024743832848f9f4ab7836a,0002017860247438326490adb5c50343,False,True,True,stage-model-application-components,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/stage-model-application-components,
57,document,开发,4,应用/组件级配置,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 应用/组件级配置,00020178602474383208232b8699fa01,000201786024743832848f9f4ab7836a,True,False,True,application-component-configuration-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-component-configuration-stage,
58,document-branch,开发,4,UIAbility组件,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件,000201786024743832167a44a2eaa583,000201786024743832848f9f4ab7836a,False,True,True,uiability,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability,
59,document,开发,5,UIAbility组件概述,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > UIAbility组件概述,000201786024743832411bd06fd3698d,000201786024743832167a44a2eaa583,True,False,True,uiability-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability-overview,
60,document,开发,5,UIAbility组件生命周期,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > UIAbility组件生命周期,000201786024743833465a0fc02b402a,000201786024743832167a44a2eaa583,True,False,True,uiability-lifecycle,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability-lifecycle,
61,document,开发,5,UIAbility组件启动模式,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > UIAbility组件启动模式,00020178602474383351643d588140b3,000201786024743832167a44a2eaa583,True,False,True,uiability-launch-type,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability-launch-type,
62,document,开发,5,UIAbility组件基本用法,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > UIAbility组件基本用法,0002017860247438335643cc71c515bd,000201786024743832167a44a2eaa583,True,False,True,uiability-usage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability-usage,
63,document,开发,5,UIAbility组件与UI的数据同步,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > UIAbility组件与UI的数据同步,000201786024743833581429bbe2fd21,000201786024743832167a44a2eaa583,True,False,True,uiability-data-sync-with-ui,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability-data-sync-with-ui,
64,document,开发,5,启动应用内的UIAbility组件,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > 启动应用内的UIAbility组件,00020178602474383360314841953de4,000201786024743832167a44a2eaa583,True,False,True,uiability-intra-device-interaction,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability-intra-device-interaction,
65,document,开发,5,通过Call调用实现多端协同,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > 通过Call调用实现多端协同,0002017860247438336090d6c0c5f93a,000201786024743832167a44a2eaa583,True,False,True,uiability-cross-device-interaction,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/uiability-cross-device-interaction,
66,document,开发,5,UIAbility备份恢复,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > UIAbility组件 > UIAbility备份恢复,000201786024743833620c67a3078d88,000201786024743832167a44a2eaa583,True,False,True,ability-recover-guideline,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/ability-recover-guideline,
67,document-branch,开发,4,ExtensionAbility组件,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > ExtensionAbility组件,000201786024743832233b190e1042a6,000201786024743832848f9f4ab7836a,False,True,True,extensionability-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/extensionability-overview,
68,document,开发,5,EmbeddedUIExtensionAbility,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > ExtensionAbility组件 > EmbeddedUIExtensionAbility,000201786024743832395164c3fdd118,000201786024743832233b190e1042a6,True,False,True,embeddeduiextensionability,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/embeddeduiextensionability,
69,document,开发,5,使用AppServiceExtensionAbility组件实现后台服务,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > ExtensionAbility组件 > 使用AppServiceExtensionAbility组件实现后台服务,000201786024743833459dcc14d39325,000201786024743832233b190e1042a6,True,False,True,app-service-extension-ability,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-service-extension-ability,
70,document,开发,4,AbilityStage组件管理器,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > AbilityStage组件管理器,00020178602474383224953fb113d2f3,000201786024743832848f9f4ab7836a,True,False,True,abilitystage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/abilitystage,
71,document,开发,4,应用上下文Context,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 应用上下文Context,000201786024743832305a1775e7f108,000201786024743832848f9f4ab7836a,True,False,True,application-context-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-context-stage,
72,document-branch,开发,4,信息传递载体Want,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 信息传递载体Want,00020178602474383231889aa042493a,000201786024743832848f9f4ab7836a,False,True,True,want,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/want,
73,document,开发,5,Want概述,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 信息传递载体Want > Want概述,0002017860247438324279fc46387516,00020178602474383231889aa042493a,True,False,True,want-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/want-overview,
74,document,开发,5,显式Want与隐式Want匹配规则,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 信息传递载体Want > 显式Want与隐式Want匹配规则,0002017860247438324510760041729d,00020178602474383231889aa042493a,True,False,True,explicit-implicit-want-mappings,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/explicit-implicit-want-mappings,
75,document,开发,5,使用显式Want启动应用组件,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 信息传递载体Want > 使用显式Want启动应用组件,00020178602474383352940806a24127,00020178602474383231889aa042493a,True,False,True,ability-startup-with-explicit-want,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/ability-startup-with-explicit-want,
76,document,开发,5,常见action与entities（不推荐使用）,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 信息传递载体Want > 常见action与entities（不推荐使用）,00020178602474383354585071868d41,00020178602474383231889aa042493a,True,False,True,actions-entities,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/actions-entities,
77,document,开发,4,组件启动规则,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 组件启动规则,000201786024743832338515bdd52dc5,000201786024743832848f9f4ab7836a,True,False,True,component-startup-rules,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/component-startup-rules,
78,document,开发,4,获取/设置环境变量,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用组件 > 获取/设置环境变量,00020178602474383235721415d87385,000201786024743832848f9f4ab7836a,True,False,True,subscribe-system-environment-variable-changes,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/subscribe-system-environment-variable-changes,
79,document,开发,3,进程模型,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 进程模型,000201786024743832895cae78404566,0002017860247438326490adb5c50343,True,False,True,process-model-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/process-model-stage,
80,document,开发,3,线程模型,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 线程模型,000201786024743832923ea1cde35f21,0002017860247438326490adb5c50343,True,False,True,thread-model-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/thread-model-stage,
81,document,开发,3,应用配置文件,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用模型 > 应用配置文件,0002017860247438329673cb56c5b2ac,0002017860247438326490adb5c50343,True,False,True,config-file-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/config-file-stage,
82,document-branch,开发,2,应用生命周期,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期,000201786024743832664f86600f7d70,00020178602474383260717ead1c20b4,False,True,True,app-lifecycle,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-lifecycle,
83,document,开发,3,应用生命周期概述,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用生命周期概述,00020178602474383279360fd90529ac,000201786024743832664f86600f7d70,True,False,True,application-lifecycle,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-lifecycle,
84,document-branch,开发,3,应用启动,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用启动,0002017860247438328402ba4abc27c8,000201786024743832664f86600f7d70,False,True,True,app-start,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-start,
85,document,开发,4,应用启动设置,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用启动 > 应用启动设置,000201786024743832077f8730cb1c4c,0002017860247438328402ba4abc27c8,True,False,True,application-startup-options,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-startup-options,
86,document,开发,4,应用启动框架AppStartup,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用启动 > 应用启动框架AppStartup,000201786024743832155c5b778fa472,0002017860247438328402ba4abc27c8,True,False,True,app-startup,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-startup,
87,document,开发,4,应用预加载,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用启动 > 应用预加载,0002017860247438322033600f896244,0002017860247438328402ba4abc27c8,True,False,True,preload-application,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/preload-application,
88,document,开发,4,应用快启,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用启动 > 应用快启,00020178602474383226800b71e4d31a,0002017860247438328402ba4abc27c8,True,False,True,hyperstartup-application,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hyperstartup-application,
89,document,开发,3,应用退出,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用退出,0002017860247438328963fd76db3d7c,000201786024743832664f86600f7d70,True,False,True,app-stop,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-stop,
90,document,开发,3,应用重启,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 应用重启,000201786024743832933b2bc276cb68,000201786024743832664f86600f7d70,True,False,True,app-restart,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-restart,
91,document,开发,3,获取应用异常退出原因,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用生命周期 > 获取应用异常退出原因,000201786024743832966ce6e3e8cfb5,000201786024743832664f86600f7d70,True,False,True,ability-exit-info-record,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/ability-exit-info-record,
92,document-branch,开发,2,应用间跳转,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用间跳转,000201786024743832674444aa8780dd,00020178602474383260717ead1c20b4,False,True,True,inter-app-redirection,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/inter-app-redirection,
93,document,开发,3,应用间跳转概述,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用间跳转 > 应用间跳转概述,00020178602474383278442480e053c3,000201786024743832674444aa8780dd,True,False,True,link-between-apps-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/link-between-apps-overview,
94,document-branch,开发,3,拉起指定应用,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用间跳转 > 拉起指定应用,00020178602474383282608179d568bb,000201786024743832674444aa8780dd,False,True,True,directional-redirection,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/directional-redirection,
95,document,开发,4,拉起指定应用概述,开发 > 应用框架 > Ability Kit（程序框架服务） > 应用间跳转 > 拉起指定应用 > 拉起指定应用概述,0002017860247438320517c75002bc26,00020178602474383282608179d568bb,True,False,True,app-startup-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-startup-overview,
