id,display_name,primary_full_name,primary_url,platforms,component_count,has_compose,has_dockerfile,license_status,selection_score,build_status,http_status,login_status
ec018,ElderCareSuite 智慧养老管理系统,fate-friend/elder-care-suite,https://gitee.com/fate-friend/elder-care-suite,gitee,1,False,False,未声明,186.519,not-tested,not-tested,not-tested
ec019,luoci1213/smart_elderly_care,luoci1213/smart_elderly_care,https://github.com/luoci1213/smart_elderly_care,github,1,False,False,未声明,186.208,not-tested,not-tested,not-tested
ec020,Mratos/nursinghome-vue,Mratos/nursinghome-vue,https://github.com/Mratos/nursinghome-vue,github,1,False,False,MIT,186.196,not-tested,not-tested,not-tested
ec021,bysj-code/Nursing-Home-Management-System,bysj-code/Nursing-Home-Management-System,https://github.com/bysj-code/Nursing-Home-Management-System,github,1,False,False,MIT,186.178,not-tested,not-tested,not-tested
ec022,daudafd/ElderlyCareSystem,daudafd/ElderlyCareSystem,https://github.com/daudafd/ElderlyCareSystem,github,1,False,False,未声明,56.0,not-tested,not-tested,not-tested
ec023,数字人老人关怀系统,yijie8/digital-elderly-care-system,https://gitee.com/yijie8/digital-elderly-care-system,gitee,1,False,True,未声明,185.962,not-tested,not-tested,not-tested
ec024,bysj-code/Community-Elderly-Care-Service-System,bysj-code/Community-Elderly-Care-Service-System,https://github.com/bysj-code/Community-Elderly-Care-Service-System,github,1,False,False,MIT,185.605,not-tested,not-tested,not-tested
ec025,zhanghongyu04/smart-nursing-house,zhanghongyu04/smart-nursing-house,https://github.com/zhanghongyu04/smart-nursing-house,github,1,False,False,AGPL-3.0,184.795,not-tested,not-tested,not-tested
ec026,ErenMikasa132/smart_elderly,ErenMikasa132/smart_elderly,https://github.com/ErenMikasa132/smart_elderly,github,1,False,True,未声明,184.758,not-tested,not-tested,not-tested
ec027,ikun2004/-Smart-elderly-care,ikun2004/-Smart-elderly-care,https://github.com/ikun2004/-Smart-elderly-care,github,1,False,False,MIT,183.521,not-tested,not-tested,not-tested
ec028,bysj-code/Nursing-home-system,bysj-code/Nursing-home-system,https://github.com/bysj-code/Nursing-home-system,github,1,False,False,MIT,182.858,not-tested,not-tested,not-tested
ec029,lzwazb/yanglao,lzwazb/yanglao,https://github.com/lzwazb/yanglao,github,1,False,False,MIT,182.857,not-tested,not-tested,not-tested
ec030,255856/elderly_care_system,255856/elderly_care_system,https://github.com/255856/elderly_care_system,github,1,False,False,未声明,69.0,not-tested,not-tested,not-tested
ec031,liubaijiangde-bot/26-wkyl-elderly-care,liubaijiangde-bot/26-wkyl-elderly-care,https://github.com/liubaijiangde-bot/26-wkyl-elderly-care,github,1,False,False,未声明,181.494,not-tested,not-tested,not-tested
ec032,geeeeeeeek/python_yanglao,geeeeeeeek/python_yanglao,https://github.com/geeeeeeeek/python_yanglao,github,1,False,False,未声明,181.391,not-tested,not-tested,not-tested
ec033,keli-dog/Nursing-Home-Management-System-Finally,keli-dog/Nursing-Home-Management-System-Finally,https://github.com/keli-dog/Nursing-Home-Management-System-Finally,github,1,False,False,Apache-2.0,124.0,not-tested,not-tested,not-tested
ec034,智慧养老医疗管理系统,gaosc2001/elderly-medical-care-system,https://gitee.com/gaosc2001/elderly-medical-care-system,gitee,1,False,False,未声明,180.66,not-tested,not-tested,not-tested
ec035,zongjixiaoai66/CommunityElderlyCareServiceSystem,zongjixiaoai66/CommunityElderlyCareServiceSystem,https://github.com/zongjixiaoai66/CommunityElderlyCareServiceSystem,github,1,False,False,MIT,180.623,not-tested,not-tested,not-tested
ec036,XiaoHu22213/Neusoft-Elderly-Care-Center,XiaoHu22213/Neusoft-Elderly-Care-Center,https://github.com/XiaoHu22213/Neusoft-Elderly-Care-Center,github,1,False,False,未声明,180.437,not-tested,not-tested,not-tested
ec037,small-bears/beadhouse,small-bears/beadhouse,https://github.com/small-bears/beadhouse,github,1,False,False,未声明,180.109,not-tested,not-tested,not-tested
ec038,F-xd/ElderGuardian,F-xd/ElderGuardian,https://github.com/F-xd/ElderGuardian,github,1,False,False,未声明,177.24,not-tested,not-tested,not-tested
ec039,YuLin-Coder/No791yanglaoyuanlaorenjiangkang,YuLin-Coder/No791yanglaoyuanlaorenjiangkang,https://github.com/YuLin-Coder/No791yanglaoyuanlaorenjiangkang,github,1,False,False,未声明,125.0,not-tested,not-tested,not-tested
ec040,Zzyl v1.0.0（若依版中州养老）,tuowei_1/zzyl,https://gitee.com/tuowei_1/zzyl,gitee,1,False,True,未声明,175.659,not-tested,not-tested,not-tested
ec041,hefuhai001/community-elder-system,hefuhai001/community-elder-system,https://github.com/hefuhai001/community-elder-system,github,1,False,False,Apache-2.0,175.512,not-tested,not-tested,not-tested
ec042,PrescottClub/Nursing-home-management-system,PrescottClub/Nursing-home-management-system,https://github.com/PrescottClub/Nursing-home-management-system,github,1,False,False,MIT,175.321,not-tested,not-tested,not-tested
ec043,智慧养老服务大数据分析系统,zhaoruiqing123/flask_elderly_care,https://gitee.com/zhaoruiqing123/flask_elderly_care,gitee,1,False,True,未声明,175.238,not-tested,not-tested,not-tested
ec044,Llabe/ssm-jsp-002_elderly-health-monitoring,Llabe/ssm-jsp-002_elderly-health-monitoring,https://github.com/Llabe/ssm-jsp-002_elderly-health-monitoring,github,1,False,False,未声明,175.03,not-tested,not-tested,not-tested
ec045,austinbf/elderlyCarePlatform,austinbf/elderlyCarePlatform,https://github.com/austinbf/elderlyCarePlatform,github,1,False,False,未声明,173.652,not-tested,not-tested,not-tested
ec046,YwusDayDayup/Elderly_Health_Planform,YwusDayDayup/Elderly_Health_Planform,https://github.com/YwusDayDayup/Elderly_Health_Planform,github,1,False,False,未声明,173.324,not-tested,not-tested,not-tested
ec047,YYYanZZZ/Elderly-Care-Center-Management-System,YYYanZZZ/Elderly-Care-Center-Management-System,https://github.com/YYYanZZZ/Elderly-Care-Center-Management-System,github,1,False,False,未声明,112.0,not-tested,not-tested,not-tested
ec048,suibian1023/Nursing-Home-Management-System,suibian1023/Nursing-Home-Management-System,https://github.com/suibian1023/Nursing-Home-Management-System,github,1,False,False,未声明,173.181,not-tested,not-tested,not-tested
ec049,JavaGraduationProject/CommunityElderlyCareComprehensiveServicePlatform,JavaGraduationProject/CommunityElderlyCareComprehensiveServicePlatform,https://github.com/JavaGraduationProject/CommunityElderlyCareComprehensiveServicePlatform,github,1,False,False,未声明,86.0,not-tested,not-tested,not-tested
ec050,zongjixiaoai66/NursingHomeManagementSystem2,zongjixiaoai66/NursingHomeManagementSystem2,https://github.com/zongjixiaoai66/NursingHomeManagementSystem2,github,1,False,False,MIT,171.317,not-tested,not-tested,not-tested
ec051,智慧养老系统（养老院管理）,sun-anzhi/smart-elderly-care-system,https://gitee.com/sun-anzhi/smart-elderly-care-system,gitee,1,False,False,未声明,170.752,not-tested,not-tested,not-tested
ec052,javacode443/Nursing-Home-Management-System,javacode443/Nursing-Home-Management-System,https://github.com/javacode443/Nursing-Home-Management-System,github,1,False,False,MIT,170.337,not-tested,not-tested,not-tested
ec053,jasonlin233-cell/No002NursingHomeManagement,jasonlin233-cell/No002NursingHomeManagement,https://github.com/jasonlin233-cell/No002NursingHomeManagement,github,1,False,False,未声明,170.139,not-tested,not-tested,not-tested
ec054,Longjiaxi/ElderCareSystem,Longjiaxi/ElderCareSystem,https://github.com/Longjiaxi/ElderCareSystem,github,1,False,False,未声明,56.0,not-tested,not-tested,not-tested
ec055,zongjixiaoai66/NursingHomeManagementSystem,zongjixiaoai66/NursingHomeManagementSystem,https://github.com/zongjixiaoai66/NursingHomeManagementSystem,github,1,False,False,MIT,169.301,not-tested,not-tested,not-tested
ec056,zongjixiaoai66/ElderlyCareMonitoringPlatform,zongjixiaoai66/ElderlyCareMonitoringPlatform,https://github.com/zongjixiaoai66/ElderlyCareMonitoringPlatform,github,1,False,False,MIT,168.684,not-tested,not-tested,not-tested
ec057,zongjixiaoai66/CommunityElderlyCareServicePlatform,zongjixiaoai66/CommunityElderlyCareServicePlatform,https://github.com/zongjixiaoai66/CommunityElderlyCareServicePlatform,github,1,False,False,MIT,168.519,not-tested,not-tested,not-tested
ec058,Jilaoda/nursing-home,Jilaoda/nursing-home,https://github.com/Jilaoda/nursing-home,github,1,False,False,未声明,167.825,not-tested,not-tested,not-tested
ec059,wwqking/Community-Elderly-Care-Service-Platform,wwqking/Community-Elderly-Care-Service-Platform,https://github.com/wwqking/Community-Elderly-Care-Service-Platform,github,1,False,False,未声明,167.482,not-tested,not-tested,not-tested
ec060,wwqking/Smart-elderly-care-monitoring-management,wwqking/Smart-elderly-care-monitoring-management,https://github.com/wwqking/Smart-elderly-care-monitoring-management,github,1,False,False,未声明,167.265,not-tested,not-tested,not-tested
ec061,居家养老智慧监护系统,chen-xiaoyang1/smart_pension,https://gitee.com/chen-xiaoyang1/smart_pension,gitee,1,False,False,未声明,166.819,not-tested,not-tested,not-tested
ec062,small-bears/beadhouses,small-bears/beadhouses,https://github.com/small-bears/beadhouses,github,1,False,False,未声明,175.0,not-tested,not-tested,not-tested
ec063,javacode443/Community-Smart-Healthcare-and-Elderly-Care-System,javacode443/Community-Smart-Healthcare-and-Elderly-Care-System,https://github.com/javacode443/Community-Smart-Healthcare-and-Elderly-Care-System,github,1,False,False,MIT,164.62,not-tested,not-tested,not-tested
ec064,small-bears/yanglaoyuan,small-bears/yanglaoyuan,https://github.com/small-bears/yanglaoyuan,github,1,False,False,未声明,176.0,not-tested,not-tested,not-tested
ec065,baizhi958216/Nursing-Home-Management-System,baizhi958216/Nursing-Home-Management-System,https://github.com/baizhi958216/Nursing-Home-Management-System,github,1,False,False,未声明,122.0,not-tested,not-tested,not-tested
ec066,super611/yanglao-system,super611/yanglao-system,https://github.com/super611/yanglao-system,github,1,True,True,未声明,164.498,not-tested,not-tested,not-tested
ec067,AAwonderful/Nursing-home-SpringBoot,AAwonderful/Nursing-home-SpringBoot,https://github.com/AAwonderful/Nursing-home-SpringBoot,github,1,False,False,未声明,94.0,not-tested,not-tested,not-tested
ec068,rai-end/Smart-Elderly-Care-System,rai-end/Smart-Elderly-Care-System,https://github.com/rai-end/Smart-Elderly-Care-System,github,1,False,False,未声明,164.2,not-tested,not-tested,not-tested
ec069,nature924/No100Smart-Elderly-Care-Center-Management-System,nature924/No100Smart-Elderly-Care-Center-Management-System,https://github.com/nature924/No100Smart-Elderly-Care-Center-Management-System,github,1,False,False,未声明,163.064,not-tested,not-tested,not-tested
ec070,中州养老（收集版）,snow_zx/zzyl,https://gitee.com/snow_zx/zzyl,gitee,1,False,False,未声明,162.877,not-tested,not-tested,not-tested
ec071,nature924/No22Nursing-Home-Management-System,nature924/No22Nursing-Home-Management-System,https://github.com/nature924/No22Nursing-Home-Management-System,github,1,False,False,未声明,162.735,not-tested,not-tested,not-tested
ec072,nature924/No233Community-Elderly-Health-Information-Management-System,nature924/No233Community-Elderly-Health-Information-Management-System,https://github.com/nature924/No233Community-Elderly-Health-Information-Management-System,github,1,False,False,未声明,162.515,not-tested,not-tested,not-tested
ec073,nature924/No214Nursing-Home-Information-Management-System,nature924/No214Nursing-Home-Information-Management-System,https://github.com/nature924/No214Nursing-Home-Information-Management-System,github,1,False,False,GPL-2.0,162.415,not-tested,not-tested,not-tested
ec074,nature924/No72Nursing-Home-Management-System,nature924/No72Nursing-Home-Management-System,https://github.com/nature924/No72Nursing-Home-Management-System,github,1,False,False,未声明,162.245,not-tested,not-tested,not-tested
ec075,b912232471-droid/Smart-Senior-Care-Cente,b912232471-droid/Smart-Senior-Care-Cente,https://github.com/b912232471-droid/Smart-Senior-Care-Cente,github,1,False,False,未声明,161.811,not-tested,not-tested,not-tested
ec076,nature924/No96Nursing-Home-Management-System,nature924/No96Nursing-Home-Management-System,https://github.com/nature924/No96Nursing-Home-Management-System,github,1,False,False,未声明,161.718,not-tested,not-tested,not-tested
ec077,SimpleGraduationProjects/CommunityElderlyCareComprehensiveServicePlatform,SimpleGraduationProjects/CommunityElderlyCareComprehensiveServicePlatform,https://github.com/SimpleGraduationProjects/CommunityElderlyCareComprehensiveServicePlatform,github,1,False,False,未声明,90.0,not-tested,not-tested,not-tested
ec078,lewandowski-jan/nursing-home-manager,lewandowski-jan/nursing-home-manager,https://github.com/lewandowski-jan/nursing-home-manager,github,1,False,False,未声明,62.0,not-tested,not-tested,not-tested
ec079,Winkiioj/-smart-medical-elderly-admin,Winkiioj/-smart-medical-elderly-admin,https://github.com/Winkiioj/-smart-medical-elderly-admin,github,1,False,False,未声明,153.915,not-tested,not-tested,not-tested
ec080,wanghao234/eldercare-system,wanghao234/eldercare-system,https://github.com/wanghao234/eldercare-system,github,1,False,False,未声明,149.074,not-tested,not-tested,not-tested
ec081,lizheznr/zhihuiyanglaoshequpingtai,lizheznr/zhihuiyanglaoshequpingtai,https://github.com/lizheznr/zhihuiyanglaoshequpingtai,github,1,False,False,MIT,138.917,not-tested,not-tested,not-tested
ec082,ErrorNotFoundzyf/Smart-Nursing-Home,ErrorNotFoundzyf/Smart-Nursing-Home,https://github.com/ErrorNotFoundzyf/Smart-Nursing-Home,github,1,False,False,未声明,133.485,not-tested,not-tested,not-tested
ec083,adpanru/smart-elderly-care,adpanru/smart-elderly-care,https://github.com/adpanru/smart-elderly-care,github,1,False,False,未声明,129.672,not-tested,not-tested,not-tested
ec084,YuLin-Coder/No115CommunityElderlyCareComprehensive,YuLin-Coder/No115CommunityElderlyCareComprehensive,https://github.com/YuLin-Coder/No115CommunityElderlyCareComprehensive,github,1,False,False,未声明,129.635,not-tested,not-tested,not-tested
ec085,nature924/No.413Nursing-Home-Management-System,nature924/No.413Nursing-Home-Management-System,https://github.com/nature924/No.413Nursing-Home-Management-System,github,1,False,False,未声明,124.569,not-tested,not-tested,not-tested
ec086,YPYT1/Nursing-home-health-management,YPYT1/Nursing-home-health-management,https://github.com/YPYT1/Nursing-home-health-management,github,1,False,False,未声明,123.586,not-tested,not-tested,not-tested
ec087,xiaoxiaocxyer/nursinghome,xiaoxiaocxyer/nursinghome,https://github.com/xiaoxiaocxyer/nursinghome,github,1,False,False,未声明,119.71,not-tested,not-tested,not-tested
ec088,HtmLuc/SeniorCare-System,HtmLuc/SeniorCare-System,https://github.com/HtmLuc/SeniorCare-System,github,1,False,False,未声明,60.0,not-tested,not-tested,not-tested
ec089,jasper-huu/Elderly-care-management,jasper-huu/Elderly-care-management,https://github.com/jasper-huu/Elderly-care-management,github,1,False,False,MIT,117.159,not-tested,not-tested,not-tested
ec090,tranthanhnhu/senior_care,tranthanhnhu/senior_care,https://github.com/tranthanhnhu/senior_care,github,1,False,False,未声明,116.634,not-tested,not-tested,not-tested
ec091,zhaofuchen99/eldercare-system,zhaofuchen99/eldercare-system,https://github.com/zhaofuchen99/eldercare-system,github,1,False,False,未声明,116.378,not-tested,not-tested,not-tested
ec092,yasharth1231/SeniorCare,yasharth1231/SeniorCare,https://github.com/yasharth1231/SeniorCare,github,1,False,False,未声明,114.376,not-tested,not-tested,not-tested
ec093,HadesTYT/zhihuiyanglao,HadesTYT/zhihuiyanglao,https://github.com/HadesTYT/zhihuiyanglao,github,1,False,False,未声明,113.031,not-tested,not-tested,not-tested
ec094,1wri/NursingHomeSystem,1wri/NursingHomeSystem,https://github.com/1wri/NursingHomeSystem,github,1,False,False,未声明,112.919,not-tested,not-tested,not-tested
ec095,Johan535/Smart-Community-Elderly-Care-Mini-Program,Johan535/Smart-Community-Elderly-Care-Mini-Program,https://github.com/Johan535/Smart-Community-Elderly-Care-Mini-Program,github,1,False,False,未声明,109.497,not-tested,not-tested,not-tested
ec096,Anusha2530/CareNest-Elderly-Care-Management-System,Anusha2530/CareNest-Elderly-Care-Management-System,https://github.com/Anusha2530/CareNest-Elderly-Care-Management-System,github,1,False,False,未声明,109.068,not-tested,not-tested,not-tested
ec097,LQ-500/yikang-companion,LQ-500/yikang-companion,https://gitee.com/LQ-500/yikang-companion,gitee,1,False,True,未声明,130.0,not-tested,not-tested,not-tested
ec098,Dddddduo/smart-community-elderly-care-backend,Dddddduo/smart-community-elderly-care-backend,https://github.com/Dddddduo/smart-community-elderly-care-backend,github,1,False,False,未声明,99.399,not-tested,not-tested,not-tested
ec099,E守护 后端服务,mohaos/e-guarded-backend,https://gitee.com/mohaos/e-guarded-backend,gitee,2,False,False,未声明,97.393,not-tested,not-tested,not-tested
ec100,Chen01020304/elderly-care-backend,Chen01020304/elderly-care-backend,https://github.com/Chen01020304/elderly-care-backend,github,1,False,False,未声明,91.193,not-tested,not-tested,not-tested
