id,project,upstream,source_status,build_status,http_status,http_code,original_login_status,username,password,portal_detail,display_url,real_app_url,build_error,runtime_error
ec013,wbb316/Smart-Elderly-Care-Service-Platform,https://github.com/wbb316/Smart-Elderly-Care-Service-Platform,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec013,http://127.0.0.1:18000/display/ec013/,http://127.0.0.1:18013/,,
ec014,byte-love/nuanyang-eldercare,https://github.com/byte-love/nuanyang-eldercare,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec014,http://127.0.0.1:18000/display/ec014/,http://127.0.0.1:18014/,,
ec015,yushuonanyan/elderly-system-,https://github.com/yushuonanyan/elderly-system-,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec015,http://127.0.0.1:18000/display/ec015/,http://127.0.0.1:18015/,,
ec016,wangtianrui/OldPeopleHome,https://github.com/wangtianrui/OldPeopleHome,cloned-verified,built,http-verified,200,login-failed,deployadmin,见私有凭据文档,http://127.0.0.1:18000/project/ec016,http://127.0.0.1:18000/display/ec016/,http://127.0.0.1:18016/,,
ec017,a2131467/ceshi,https://gitee.com/a2131467/ceshi,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec017,http://127.0.0.1:18000/display/ec017/,http://127.0.0.1:18017/,,
ec018,fate-friend/elder-care-suite,https://gitee.com/fate-friend/elder-care-suite,cloned-verified,built,http-verified,200,not-implemented,root,见私有凭据文档,http://127.0.0.1:18000/project/ec018,http://127.0.0.1:18000/display/ec018/,http://127.0.0.1:18018/,,
ec019,luoci1213/smart_elderly_care,https://github.com/luoci1213/smart_elderly_care,cloned-verified,built,http-verified,200,not-implemented,root,见私有凭据文档,http://127.0.0.1:18000/project/ec019,http://127.0.0.1:18000/display/ec019/,http://127.0.0.1:18019/,,
ec020,Mratos/nursinghome-vue,https://github.com/Mratos/nursinghome-vue,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec020,http://127.0.0.1:18000/display/ec020/,http://127.0.0.1:18020/,,
ec021,bysj-code/Nursing-Home-Management-System,https://github.com/bysj-code/Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec021,http://127.0.0.1:18000/display/ec021/,http://127.0.0.1:18021/,,
ec022,daudafd/ElderlyCareSystem,https://github.com/daudafd/ElderlyCareSystem,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec022,http://127.0.0.1:18000/display/ec022/,http://127.0.0.1:18022/,,
ec023,yijie8/digital-elderly-care-system,https://gitee.com/yijie8/digital-elderly-care-system,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec023,http://127.0.0.1:18000/display/ec023/,http://127.0.0.1:18023/,,
ec024,bysj-code/Community-Elderly-Care-Service-System,https://github.com/bysj-code/Community-Elderly-Care-Service-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec024,http://127.0.0.1:18000/display/ec024/,http://127.0.0.1:18024/,,
ec025,zhanghongyu04/smart-nursing-house,https://github.com/zhanghongyu04/smart-nursing-house,cloned-verified,built,http-verified,200,not-implemented,name,见私有凭据文档,http://127.0.0.1:18000/project/ec025,http://127.0.0.1:18000/display/ec025/,http://127.0.0.1:18025/,,
ec026,ErenMikasa132/smart_elderly,https://github.com/ErenMikasa132/smart_elderly,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec026,http://127.0.0.1:18000/display/ec026/,http://127.0.0.1:18026/,,
ec027,ikun2004/-Smart-elderly-care,https://github.com/ikun2004/-Smart-elderly-care,cloned-verified,built,http-verified,200,not-implemented,password,见私有凭据文档,http://127.0.0.1:18000/project/ec027,http://127.0.0.1:18000/display/ec027/,http://127.0.0.1:18027/,,
ec028,bysj-code/Nursing-home-system,https://github.com/bysj-code/Nursing-home-system,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec028,http://127.0.0.1:18000/display/ec028/,http://127.0.0.1:18028/,,
ec029,lzwazb/yanglao,https://github.com/lzwazb/yanglao,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec029,http://127.0.0.1:18000/display/ec029/,http://127.0.0.1:18029/,,
ec030,255856/elderly_care_system,https://github.com/255856/elderly_care_system,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec030,http://127.0.0.1:18000/display/ec030/,http://127.0.0.1:18030/,,
ec031,liubaijiangde-bot/26-wkyl-elderly-care,https://github.com/liubaijiangde-bot/26-wkyl-elderly-care,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec031,http://127.0.0.1:18000/display/ec031/,http://127.0.0.1:18031/,,
ec032,geeeeeeeek/python_yanglao,https://github.com/geeeeeeeek/python_yanglao,cloned-verified,built,http-verified,200,not-implemented,name,见私有凭据文档,http://127.0.0.1:18000/project/ec032,http://127.0.0.1:18000/display/ec032/,http://127.0.0.1:18032/,,
ec033,keli-dog/Nursing-Home-Management-System-Finally,https://github.com/keli-dog/Nursing-Home-Management-System-Finally,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec033,http://127.0.0.1:18000/display/ec033/,http://127.0.0.1:18033/,,
ec034,gaosc2001/elderly-medical-care-system,https://gitee.com/gaosc2001/elderly-medical-care-system,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec034,http://127.0.0.1:18000/display/ec034/,http://127.0.0.1:18034/,,
ec035,zongjixiaoai66/CommunityElderlyCareServiceSystem,https://github.com/zongjixiaoai66/CommunityElderlyCareServiceSystem,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec035,http://127.0.0.1:18000/display/ec035/,http://127.0.0.1:18035/,,
ec036,XiaoHu22213/Neusoft-Elderly-Care-Center,https://github.com/XiaoHu22213/Neusoft-Elderly-Care-Center,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec036,http://127.0.0.1:18000/display/ec036/,http://127.0.0.1:18036/,,
ec037,small-bears/beadhouse,https://github.com/small-bears/beadhouse,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec037,http://127.0.0.1:18000/display/ec037/,http://127.0.0.1:18037/,,
ec038,F-xd/ElderGuardian,https://github.com/F-xd/ElderGuardian,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec038,http://127.0.0.1:18000/display/ec038/,http://127.0.0.1:18038/,,
ec039,YuLin-Coder/No791yanglaoyuanlaorenjiangkang,https://github.com/YuLin-Coder/No791yanglaoyuanlaorenjiangkang,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec039,http://127.0.0.1:18000/display/ec039/,http://127.0.0.1:18039/,,
ec040,tuowei_1/zzyl,https://gitee.com/tuowei_1/zzyl,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec040,http://127.0.0.1:18000/display/ec040/,http://127.0.0.1:18040/,,
ec041,hefuhai001/community-elder-system,https://github.com/hefuhai001/community-elder-system,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec041,http://127.0.0.1:18000/display/ec041/,http://127.0.0.1:18041/,,
ec042,PrescottClub/Nursing-home-management-system,https://github.com/PrescottClub/Nursing-home-management-system,cloned-verified,built,http-verified,200,login-verified,13547584400,见私有凭据文档,http://127.0.0.1:18000/project/ec042,http://127.0.0.1:18000/display/ec042/,http://127.0.0.1:18042/,,
ec043,zhaoruiqing123/flask_elderly_care,https://gitee.com/zhaoruiqing123/flask_elderly_care,cloned-verified,built,http-verified,200,login-failed,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec043,http://127.0.0.1:18000/display/ec043/,http://127.0.0.1:18043/,,
ec044,Llabe/ssm-jsp-002_elderly-health-monitoring,https://github.com/Llabe/ssm-jsp-002_elderly-health-monitoring,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec044,http://127.0.0.1:18000/display/ec044/,http://127.0.0.1:18044/,,
ec045,austinbf/elderlyCarePlatform,https://github.com/austinbf/elderlyCarePlatform,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec045,http://127.0.0.1:18000/display/ec045/,http://127.0.0.1:18045/,,
ec046,YwusDayDayup/Elderly_Health_Planform,https://github.com/YwusDayDayup/Elderly_Health_Planform,cloned-verified,built,http-verified,200,not-implemented,root,见私有凭据文档,http://127.0.0.1:18000/project/ec046,http://127.0.0.1:18000/display/ec046/,http://127.0.0.1:18046/,,
ec047,YYYanZZZ/Elderly-Care-Center-Management-System,https://github.com/YYYanZZZ/Elderly-Care-Center-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec047,http://127.0.0.1:18000/display/ec047/,http://127.0.0.1:18047/,,
ec048,suibian1023/Nursing-Home-Management-System,https://github.com/suibian1023/Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,name,见私有凭据文档,http://127.0.0.1:18000/project/ec048,http://127.0.0.1:18000/display/ec048/,http://127.0.0.1:18048/,,
ec049,JavaGraduationProject/CommunityElderlyCareComprehensiveServicePlatform,https://github.com/JavaGraduationProject/CommunityElderlyCareComprehensiveServicePlatform,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec049,http://127.0.0.1:18000/display/ec049/,http://127.0.0.1:18049/,,
ec050,zongjixiaoai66/NursingHomeManagementSystem2,https://github.com/zongjixiaoai66/NursingHomeManagementSystem2,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec050,http://127.0.0.1:18000/display/ec050/,http://127.0.0.1:18050/,,
ec051,sun-anzhi/smart-elderly-care-system,https://gitee.com/sun-anzhi/smart-elderly-care-system,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec051,http://127.0.0.1:18000/display/ec051/,http://127.0.0.1:18051/,,
ec052,javacode443/Nursing-Home-Management-System,https://github.com/javacode443/Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec052,http://127.0.0.1:18000/display/ec052/,http://127.0.0.1:18052/,,
ec053,jasonlin233-cell/No002NursingHomeManagement,https://github.com/jasonlin233-cell/No002NursingHomeManagement,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec053,http://127.0.0.1:18000/display/ec053/,http://127.0.0.1:18053/,,
ec054,Longjiaxi/ElderCareSystem,https://github.com/Longjiaxi/ElderCareSystem,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec054,http://127.0.0.1:18000/display/ec054/,http://127.0.0.1:18054/,,
ec055,zongjixiaoai66/NursingHomeManagementSystem,https://github.com/zongjixiaoai66/NursingHomeManagementSystem,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec055,http://127.0.0.1:18000/display/ec055/,http://127.0.0.1:18055/,,
ec056,zongjixiaoai66/ElderlyCareMonitoringPlatform,https://github.com/zongjixiaoai66/ElderlyCareMonitoringPlatform,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec056,http://127.0.0.1:18000/display/ec056/,http://127.0.0.1:18056/,,
ec057,zongjixiaoai66/CommunityElderlyCareServicePlatform,https://github.com/zongjixiaoai66/CommunityElderlyCareServicePlatform,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec057,http://127.0.0.1:18000/display/ec057/,http://127.0.0.1:18057/,,
ec058,Jilaoda/nursing-home,https://github.com/Jilaoda/nursing-home,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec058,http://127.0.0.1:18000/display/ec058/,http://127.0.0.1:18058/,,
ec059,wwqking/Community-Elderly-Care-Service-Platform,https://github.com/wwqking/Community-Elderly-Care-Service-Platform,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec059,http://127.0.0.1:18000/display/ec059/,http://127.0.0.1:18059/,,
ec060,wwqking/Smart-elderly-care-monitoring-management,https://github.com/wwqking/Smart-elderly-care-monitoring-management,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec060,http://127.0.0.1:18000/display/ec060/,http://127.0.0.1:18060/,,
ec061,chen-xiaoyang1/smart_pension,https://gitee.com/chen-xiaoyang1/smart_pension,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec061,http://127.0.0.1:18000/display/ec061/,http://127.0.0.1:18061/,,
ec062,small-bears/beadhouses,https://github.com/small-bears/beadhouses,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec062,http://127.0.0.1:18000/display/ec062/,http://127.0.0.1:18062/,,
ec063,javacode443/Community-Smart-Healthcare-and-Elderly-Care-System,https://github.com/javacode443/Community-Smart-Healthcare-and-Elderly-Care-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec063,http://127.0.0.1:18000/display/ec063/,http://127.0.0.1:18063/,,
ec064,small-bears/yanglaoyuan,https://github.com/small-bears/yanglaoyuan,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec064,http://127.0.0.1:18000/display/ec064/,http://127.0.0.1:18064/,,
ec065,baizhi958216/Nursing-Home-Management-System,https://github.com/baizhi958216/Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec065,http://127.0.0.1:18000/display/ec065/,http://127.0.0.1:18065/,,
ec066,super611/yanglao-system,https://github.com/super611/yanglao-system,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec066,http://127.0.0.1:18000/display/ec066/,http://127.0.0.1:18066/,,
ec067,AAwonderful/Nursing-home-SpringBoot,https://github.com/AAwonderful/Nursing-home-SpringBoot,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec067,http://127.0.0.1:18000/display/ec067/,http://127.0.0.1:18067/,,
ec068,rai-end/Smart-Elderly-Care-System,https://github.com/rai-end/Smart-Elderly-Care-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec068,http://127.0.0.1:18000/display/ec068/,http://127.0.0.1:18068/,,
ec069,nature924/No100Smart-Elderly-Care-Center-Management-System,https://github.com/nature924/No100Smart-Elderly-Care-Center-Management-System,cloned-verified,built,http-verified,200,login-verified,deployadmin,见私有凭据文档,http://127.0.0.1:18000/project/ec069,http://127.0.0.1:18000/display/ec069/,http://127.0.0.1:18069/,,
ec070,snow_zx/zzyl,https://gitee.com/snow_zx/zzyl,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec070,http://127.0.0.1:18000/display/ec070/,http://127.0.0.1:18070/,,
ec071,nature924/No22Nursing-Home-Management-System,https://github.com/nature924/No22Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec071,http://127.0.0.1:18000/display/ec071/,http://127.0.0.1:18071/,,
ec072,nature924/No233Community-Elderly-Health-Information-Management-System,https://github.com/nature924/No233Community-Elderly-Health-Information-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec072,http://127.0.0.1:18000/display/ec072/,http://127.0.0.1:18072/,,
ec073,nature924/No214Nursing-Home-Information-Management-System,https://github.com/nature924/No214Nursing-Home-Information-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec073,http://127.0.0.1:18000/display/ec073/,http://127.0.0.1:18073/,,
ec074,nature924/No72Nursing-Home-Management-System,https://github.com/nature924/No72Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec074,http://127.0.0.1:18000/display/ec074/,http://127.0.0.1:18074/,,
ec075,b912232471-droid/Smart-Senior-Care-Cente,https://github.com/b912232471-droid/Smart-Senior-Care-Cente,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec075,http://127.0.0.1:18000/display/ec075/,http://127.0.0.1:18075/,,
ec076,nature924/No96Nursing-Home-Management-System,https://github.com/nature924/No96Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec076,http://127.0.0.1:18000/display/ec076/,http://127.0.0.1:18076/,,
ec077,SimpleGraduationProjects/CommunityElderlyCareComprehensiveServicePlatform,https://github.com/SimpleGraduationProjects/CommunityElderlyCareComprehensiveServicePlatform,cloned-verified,built,http-verified,200,not-implemented,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec077,http://127.0.0.1:18000/display/ec077/,http://127.0.0.1:18077/,,
ec078,lewandowski-jan/nursing-home-manager,https://github.com/lewandowski-jan/nursing-home-manager,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec078,http://127.0.0.1:18000/display/ec078/,http://127.0.0.1:18078/,,
ec079,Winkiioj/-smart-medical-elderly-admin,https://github.com/Winkiioj/-smart-medical-elderly-admin,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec079,http://127.0.0.1:18000/display/ec079/,http://127.0.0.1:18079/,,
ec080,wanghao234/eldercare-system,https://github.com/wanghao234/eldercare-system,cloned-verified,built,http-verified,200,not-implemented,password,见私有凭据文档,http://127.0.0.1:18000/project/ec080,http://127.0.0.1:18000/display/ec080/,http://127.0.0.1:18080/,,
ec081,lizheznr/zhihuiyanglaoshequpingtai,https://github.com/lizheznr/zhihuiyanglaoshequpingtai,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec081,http://127.0.0.1:18000/display/ec081/,http://127.0.0.1:18081/,,
ec082,ErrorNotFoundzyf/Smart-Nursing-Home,https://github.com/ErrorNotFoundzyf/Smart-Nursing-Home,cloned-verified,built,http-verified,200,login-verified,deployadmin@ec082.local,见私有凭据文档,http://127.0.0.1:18000/project/ec082,http://127.0.0.1:18000/display/ec082/,http://127.0.0.1:18082/,,
ec083,adpanru/smart-elderly-care,https://github.com/adpanru/smart-elderly-care,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec083,http://127.0.0.1:18000/display/ec083/,http://127.0.0.1:18083/,,
ec084,YuLin-Coder/No115CommunityElderlyCareComprehensive,https://github.com/YuLin-Coder/No115CommunityElderlyCareComprehensive,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec084,http://127.0.0.1:18000/display/ec084/,http://127.0.0.1:18084/,,
ec085,nature924/No.413Nursing-Home-Management-System,https://github.com/nature924/No.413Nursing-Home-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec085,http://127.0.0.1:18000/display/ec085/,http://127.0.0.1:18085/,,
ec086,YPYT1/Nursing-home-health-management,https://github.com/YPYT1/Nursing-home-health-management,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec086,http://127.0.0.1:18000/display/ec086/,http://127.0.0.1:18086/,,
ec087,xiaoxiaocxyer/nursinghome,https://github.com/xiaoxiaocxyer/nursinghome,cloned-verified,built,http-verified,200,login-verified,deployadmin,见私有凭据文档,http://127.0.0.1:18000/project/ec087,http://127.0.0.1:18000/display/ec087/,http://127.0.0.1:18087/,,
ec088,HtmLuc/SeniorCare-System,https://github.com/HtmLuc/SeniorCare-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec088,http://127.0.0.1:18000/display/ec088/,http://127.0.0.1:18088/,,
ec089,jasper-huu/Elderly-care-management,https://github.com/jasper-huu/Elderly-care-management,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec089,http://127.0.0.1:18000/display/ec089/,http://127.0.0.1:18089/,,
ec090,tranthanhnhu/senior_care,https://github.com/tranthanhnhu/senior_care,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec090,http://127.0.0.1:18000/display/ec090/,http://127.0.0.1:18090/,,
ec091,zhaofuchen99/eldercare-system,https://github.com/zhaofuchen99/eldercare-system,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec091,http://127.0.0.1:18000/display/ec091/,http://127.0.0.1:18091/,,
ec092,yasharth1231/SeniorCare,https://github.com/yasharth1231/SeniorCare,cloned-verified,built,http-verified,200,login-verified,deployadmin-ec092@example.com,见私有凭据文档,http://127.0.0.1:18000/project/ec092,http://127.0.0.1:18000/display/ec092/,http://127.0.0.1:18092/,,
ec093,HadesTYT/zhihuiyanglao,https://github.com/HadesTYT/zhihuiyanglao,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec093,http://127.0.0.1:18000/display/ec093/,http://127.0.0.1:18093/,,
ec094,1wri/NursingHomeSystem,https://github.com/1wri/NursingHomeSystem,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec094,http://127.0.0.1:18000/display/ec094/,http://127.0.0.1:18094/,,
ec095,Johan535/Smart-Community-Elderly-Care-Mini-Program,https://github.com/Johan535/Smart-Community-Elderly-Care-Mini-Program,cloned-verified,built,http-verified,200,request-auth-verified,,,http://127.0.0.1:18000/project/ec095,http://127.0.0.1:18000/display/ec095/,http://127.0.0.1:18095/,,
ec096,Anusha2530/CareNest-Elderly-Care-Management-System,https://github.com/Anusha2530/CareNest-Elderly-Care-Management-System,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec096,http://127.0.0.1:18000/display/ec096/,http://127.0.0.1:18096/,,
ec097,LQ-500/yikang-companion,https://gitee.com/LQ-500/yikang-companion,cloned-verified,built,http-verified,200,login-verified,deployadmin97,见私有凭据文档,http://127.0.0.1:18000/project/ec097,http://127.0.0.1:18000/display/ec097/,http://127.0.0.1:18097/,,
ec098,Dddddduo/smart-community-elderly-care-backend,https://github.com/Dddddduo/smart-community-elderly-care-backend,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec098,http://127.0.0.1:18000/display/ec098/,http://127.0.0.1:18098/,,
ec099,mohaos/e-guarded-backend,https://gitee.com/mohaos/e-guarded-backend,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec099,http://127.0.0.1:18000/display/ec099/,http://127.0.0.1:18099/,,
ec100,Chen01020304/elderly-care-backend,https://github.com/Chen01020304/elderly-care-backend,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec100,http://127.0.0.1:18000/display/ec100/,http://127.0.0.1:18100/,,
ec101,elfbobo_admin_admin/KinEcho,https://gitee.com/elfbobo_admin_admin/KinEcho,cloned-verified,failed,not-tested,,not-tested,,,http://127.0.0.1:18000/project/ec101,http://127.0.0.1:18000/display/ec101/,http://127.0.0.1:18101/,,
ec102,kangxihuang/src-K089,https://gitee.com/kangxihuang/src-K089,cloned-verified,failed,not-tested,,not-tested,,,http://127.0.0.1:18000/project/ec102,http://127.0.0.1:18000/display/ec102/,http://127.0.0.1:18102/,,
ec103,kangxihuang/src-K264,https://gitee.com/kangxihuang/src-K264,cloned-verified,failed,not-tested,,not-tested,,,http://127.0.0.1:18000/project/ec103,http://127.0.0.1:18000/display/ec103/,http://127.0.0.1:18103/,,
ec104,r05e/elder_-monitor_-system,https://gitee.com/r05e/elder_-monitor_-system,cloned-verified,built,display-only,200,not-implemented,,,http://127.0.0.1:18000/project/ec104,http://127.0.0.1:18000/display/ec104/,http://127.0.0.1:18104/,,
ec105,r05e/EMS,https://gitee.com/r05e/EMS,cloned-verified,failed,not-tested,,not-tested,,,http://127.0.0.1:18000/project/ec105,http://127.0.0.1:18000/display/ec105/,http://127.0.0.1:18105/,,
ec106,767172261/Fall-recognition-and-fall-detection-based-on-deep-learning-Intelligent-monitoring-smart-elderly-care,https://github.com/767172261/Fall-recognition-and-fall-detection-based-on-deep-learning-Intelligent-monitoring-smart-elderly-care,cloned-verified,failed,not-tested,,not-tested,,,http://127.0.0.1:18000/project/ec106,http://127.0.0.1:18000/display/ec106/,http://127.0.0.1:18106/,,
