08-29 11:45:08.722     0     0 I I00000/HiLog: ========Zeroth log of type: init
08-30 16:42:45.998  1418  1418 I A04200/WINDOW: [a92ab1ed05cb5bc, 2421da7, 17db502] SCBMultiWindowUtils: [SCBMultiWindowGuideUtils.preferenceFlush]: Succeeded in flushing.
08-30 16:42:45.998  1418  1418 I A04200/WINDOW: SCBSSM: onShiftFocus id: 9 -> 525, displayGroupId: 0
08-30 16:42:45.998  1418  1418 I A01b00/SCB: ViewManagerPolicy --> 9 notifyViewLoseFocus
08-30 16:42:45.998  1418  1418 I A01b0a/GESTURE: SCBGestureManager: onLoseFocus
08-30 16:42:45.998  1418  1418 I A01b00/SCB: SCBDesktop --> Desktop lose focus, the scenePanelState is 1
08-30 16:42:45.998  1418  1418 I A01a00/SYS_UI: SystemUIView: onDeskTopChange: false
08-30 16:42:45.998  1418  1418 W A01b01/HOME: ExposureManager --> desktop exposure desktopExposureTimeStart: 104261835, lastTime: 309
08-30 16:42:45.999  1418  1418 I A04200/WINDOW: SCBWindowFocusController: setFocusedSession, displayGroupId: 0, sessionId: 525, displayId: 0, screenId: 0
08-30 16:42:46.000  1418  1418 I A01b00/SCB: TaskpoolUtil: task sequenceExecute
08-30 16:42:46.000  1418  1418 I A01b00/SCB: TaskpoolUtil: task sequenceExecute finally
08-30 16:42:46.006  1418  1418 W A01c06/ICON: AppIconWeatherModel --> initWeatherListener, retryTimes: 4
08-30 16:42:46.006  1418  1418 I A0001b/AA: SubscriberController --> subscribe, success: DESKTOP
08-30 16:42:46.006  1418  1418 I A0001b/AA: SubscriberController --> onDeskTopEvent event: SCENE_PANEL_EVENT
08-30 16:42:46.007  1418  1418 I A0001b/AA: SubscriberController --> onDeskTopEvent CUSTOM_SCENE_PANEL_EVENT: true
08-30 16:42:46.007  1418  1418 I A04200/WINDOW: SCBMultiWindowManager: receive custom scenePanel event to: 1
08-30 16:42:46.007  1418  1418 I A04200/WINDOW: SCBSceneSessionManagerSubscriber --> subscribe, success: SCBSceneSessionManager
08-30 16:42:46.007  1418  1418 I A04200/WINDOW: SCBSSM: handleScenePanelStateChange state: 1
08-30 16:42:46.008  1418  1418 I A04200/WINDOW: SCBScene: [SCBKeyboard] keyboard hiding, callingId: 0, animCnt: 1
08-30 16:42:46.009  1418  1418 I A01b00/SCB: LuoShuStateManager --> getLuoShuStateInfo: WMUtils {"luoShuState":0,"scenePanelState":1,"eventType":7,"screenInfo":{"isLandscape":true,"foldState":1},"screenId":0,"holdingHandStatus":1}
08-30 16:42:46.028   908   908 I A0ff00/[Kanxiaoban]: [KanxiaobanAbility], Ability configuration updated. colorMode: 1
08-30 16:42:46.028   908   908 I A0ff00/[Kanxiaoban]: [KanxiaobanAbility], Ability onCreate
08-30 16:42:46.036  1418  1418 I A0001b/AA: RecentlyUseController --> buildRecentlyUseInfo {"bundleName":"com.gxoc.kxbai","moduleName":"kanxiaoban","abilityName":"KanxiaobanAbility","pid":908,"uid":20020062,"state":2,"abilityType":1,"isAtomicService":false,"callerBundleName":""}
08-30 16:42:46.036  1418  1418 I A0001b/AA: RecentlyUseController --> buildRecentlyUseInfo abilityStateData is exit
08-30 16:42:46.036  1418  1418 I A01a00/SYS_UI: PhoneAppManager: ability[com.gxoc.kxbai|undefined|KanxiaobanAbility] state change to 2
08-30 16:42:46.036  1418  1418 I A01a00/SYS_UI: PhoneAppManager: checkAbilityForegroundChange change: 2, com.gxoc.kxbai
08-30 16:42:46.036  1418  1418 I A01a01/NC: BannerNotificationEntryVm --> onForegroundAppEvent. com.gxoc.kxbai
08-30 16:42:46.036  1418  1418 I A01a00/SYS_UI: AppLifeCycleManager: Ability state changed, uid: 20020062, key: com.gxoc.kxbai_kanxiaoban_KanxiaobanAbility_908, isForeground: true, state 2
08-30 16:42:46.037  1418  1418 I A01a00/SYS_UI: AppLifeCycleManager: Ability state change: new foregroundAbilities: 20020062: com.gxoc.kxbai_kanxiaoban_KanxiaobanAbility_908
08-30 16:42:46.037  1418  1418 I A01a00/SYS_UI: AppLifeCycleManager: App foreground state changed, uid: 20020062, true
08-30 16:42:46.037  1418  1418 W A01a00/SYS_UI: LiveCapsuleListVm: onAppForegroundStateChange foreground: true, uid: 20020062, bundleName: com.gxoc.kxbai, orientation: 3
08-30 16:42:46.037  1418  1418 W A01a00/SYS_UI: LiveCapsuleListVm: start to toggleCapsuleList, param:  {"isUpwards":false,"isUpdateImmediately":false,"needAnimation":true,"needShowStatusBar":false}
08-30 16:42:46.037  1418  1418 W A01a00/SYS_UI: LiveCapsuleListVm: Visible is not changed, stop toggleCapsuleList. isForceUpdate: undefined
08-30 16:42:46.037  1418  1418 I A01a00/SYS_UI: StatusBarColorPickerVm --> App 20020062, foreground: true
08-30 16:42:46.037  1418  1418 I A01b01/HOME: RecentDockModel: app is already first in recent dock
08-30 16:42:46.037  1418  1418 I A01b09/RECENT: RecentDockRefreshAlarm: refresh recent dock: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:46.037  1418  1418 E A01c06/ICON: AppIconWeatherModel --> get weather info failed, code: 15700010, message: The DataShareHelper is not initialized successfully.
08-30 16:42:46.044 31257 31257 I A000ff/HMKeyboard_SoundPoolHelper: unload All Audio
08-30 16:42:46.097  1418  1418 I A0420a/WMSLife: onSessionStateChange state:1
08-30 16:42:46.105  1418  1418 I A04200/WINDOW: SCBSceneSession: onSessionWindowLimitsChange
08-30 16:42:46.110  1418  1418 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
08-30 16:42:46.116   908   908 I A0ff00/[Kanxiaoban]: [KanxiaobanAbility], Ability onWindowStageCreate
08-30 16:42:46.117 31257 31257 I A000ff/HMKeyboard_EngineTool: setParameter:{"0":0,"1":1,"2":1,"3":0,"10":0,"11":1,"12":0,"13":1,"15":2,"16":1,"17":1,"18":1,"19":1,"20":2,"21":0,"22":0,"23":1}
08-30 16:42:46.142  1418  1418 I A04200/WINDOW: SCBSceneSession: onSessionWindowLimitsChange
08-30 16:42:46.142  1418  1418 I A0420a/WMSLife: onSessionStateChange state:2
08-30 16:42:46.142  1418  1418 I A04200/WINDOW: SCBScreenSM: regScreenPropChange: at onSessionStateChange (SCBSceneSession.ts:3356:55)
08-30 16:42:46.142  1418  1418 I A04200/WINDOW: SCBScreenSM: recordEventFromScb
08-30 16:42:46.142  1418  1418 I A04200/WINDOW: SCBScreenSM: regScreenPropChange screenId: 0 true null false false29
08-30 16:42:46.142  1418  1418 I A04209/WMSImms: win:525 foreground
08-30 16:42:46.142  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
08-30 16:42:46.142  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty 0
08-30 16:42:46.143  1418  1418 I A01b0a/GESTURE: FloatingNavigationManager --> checkShowFloatingNavigation switch is closed
08-30 16:42:46.143  1418  1418 I A01b0a/GESTURE: GestureDockPreferenceUtil --> onSceneStateChange,isForegroud:true,bundleName:com.gxoc.kxbai,appIndex:0 sceneInfo.abilityName:KanxiaobanAbility
08-30 16:42:46.143  1418  1418 I A01b0a/GESTURE: GestureDockPreferenceUtil --> addGestureDockRecentPreference
08-30 16:42:46.143  1418  1418 I A01b01/HOME: AppModel: currentBundleInfoList length: 9
08-30 16:42:46.143  1418  1418 I A01b0a/GESTURE: GestureDockPreferenceUtil --> addGestureDockRecentPreference, bundleName:com.gxoc.kxbai appIndex:0 abilityName:KanxiaobanAbility.
08-30 16:42:46.143  1418  1418 I A01b09/RECENT: RecentGestureEventManager: onSceneStateChange,isForegroud:true,bundleName:com.gxoc.kxbai abilityName:KanxiaobanAbility
08-30 16:42:46.143  1418  1418 I A01b0a/GESTURE: AIBarView --> bundleName:com.gxoc.kxbai isEnterDeliver:false
08-30 16:42:46.143  1418  1418 I A01b00/SCB: SCBCompatibilityModeManager: registerLandscapeStateCallback bundleName com.gxoc.kxbai landscapeStateCallbackMap size is 4
08-30 16:42:46.143  1418  1418 I A01b00/SCB: SCBCompatibilityModeManager: registerLandscapeStateCallback finished landscapeStateCallbackMap size is 5
08-30 16:42:46.144  1418  1418 I A0001b/AA: RecentlyUseController --> buildRecentlyUseInfo {"bundleName":"com.gxoc.kxbai","moduleName":"kanxiaoban","abilityName":"KanxiaobanAbility","pid":908,"uid":20020062,"state":2,"abilityType":1,"isAtomicService":false,"callerBundleName":""}
08-30 16:42:46.144  1418  1418 I A0001b/AA: RecentlyUseController --> buildRecentlyUseInfo abilityStateData is exit
08-30 16:42:46.144  1418  1418 I A01a00/SYS_UI: PhoneAppManager: ability[com.gxoc.kxbai|undefined|KanxiaobanAbility] state change to 2
08-30 16:42:46.144  1418  1418 I A0420a/WMSLife: onSessionStateChange state:3
08-30 16:42:46.146  1418  1418 I A01b0a/GESTURE: GestureDockPreferenceUtil --> Index is 0
08-30 16:42:46.146  1418  1418 I A01b0a/GESTURE: GestureDockPreferenceUtil --> app is already first in recent dock
08-30 16:42:46.165   908   908 I A0ff00/[Kanxiaoban]: [KanxiaobanAbility], Ability onForeground
08-30 16:42:46.201  1418  1418 I A04200/WINDOW: SCBSceneSession: onSessionShowWhenLockedChange, status:false of id:525 ignored.
08-30 16:42:46.214   908   908 I A0ff00/[Kanxiaoban]: [KanxiaobanAbility], Succeeded in loading the content.
08-30 16:42:46.214  1418  1418 I A04200/WINDOW: SCBSceneSession: on IsLayoutFullScreenChange:false
08-30 16:42:46.215  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
08-30 16:42:46.215  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty 0
08-30 16:42:46.215  1418  1418 I A01b0a/GESTURE: FloatingNavigationManager --> checkShowFloatingNavigation switch is closed
08-30 16:42:46.215  1418  1418 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
08-30 16:42:46.216  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
08-30 16:42:46.216  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty 0
08-30 16:42:46.216  1418  1418 I A01b0a/GESTURE: FloatingNavigationManager --> checkShowFloatingNavigation switch is closed
08-30 16:42:46.216  1418  1418 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
08-30 16:42:46.218  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
08-30 16:42:46.218  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty 0
08-30 16:42:46.218  1418  1418 I A01b0a/GESTURE: FloatingNavigationManager --> checkShowFloatingNavigation switch is closed
08-30 16:42:46.219  1418  1418 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
08-30 16:42:46.219  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
08-30 16:42:46.219  1418  1418 I A01b00/SCB: SCBSSM: updateNavigationBarProperty 0
08-30 16:42:46.219  1418  1418 I A01b0a/GESTURE: FloatingNavigationManager --> checkShowFloatingNavigation switch is closed
08-30 16:42:46.219  1418  1418 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
08-30 16:42:46.340  1418  1418 W A01b01/HOME: SCBScenePanelAnimator: requestSceneContainerDestructionWithTransition animateToImmediately onFinish
08-30 16:42:46.340  1418  1418 W A01b01/HOME: SCBSCS: getTransitionCount from session 63, 2
08-30 16:42:46.340  1418  1418 W A01b01/HOME: SCBTM: getTransitionCount from animationMap 63, 2
08-30 16:42:46.340  1418  1418 I A01b09/RECENT: RecentGestureEventManager: reportEventForRSSIfNeed event:7 args:com.gxoc.kxbai
08-30 16:42:46.340  1418  1418 I A01b00/SCB: AnimateToScheduleUtils: report name: com.gxoc.kxbai event:7
08-30 16:42:46.341  1418  1418 W A01b01/HOME: SCBScenePanelAnimator: ExitAppAnimation end.
08-30 16:42:46.341  1418  1418 I A01b01/HOME: SCBTM: reduceStartExitAnimationCount reason:requestSceneContainerDestructionWithTransition end animationCount:0
08-30 16:42:46.341  1418  1418 I A01b00/SCB: LocalEventManager: sendLocalEvent, send local event with no receiver
08-30 16:42:46.341  1418  1418 W A01b01/HOME: SCBSCS: getTransitionCount from session 63, 2
08-30 16:42:46.341  1418  1418 W A01b01/HOME: SCBTM: getTransitionCount from animationMap 63, 2
08-30 16:42:46.341  1418  1418 W A01b01/HOME: SCBScenePanelAnimator: requestSceneContainerDestructionWithTransition onFinish, animationNum: 1, needRemoved: false, pendingRemove: false
08-30 16:42:46.341  1418  1418 I A01b01/HOME: SCBTM: exitToFolderEnd folderId: undefined; index: undefined
08-30 16:42:46.341  1418  1418 I A01b01/HOME: SCBTM: getStartExitAnimationCount animationCount:0
08-30 16:42:46.341  1418  1418 I A01b01/HOME: AnimateEventSyncProxy --> [requestSceneContainerDestructionWithTransition] event post 3
08-30 16:42:46.366  1418  1418 I A04200/WINDOW: SCBSPM: onBlurTransitionFinish 34 blurComponentTransitionCount:38
08-30 16:42:46.366  1418  1418 I A01b0a/GESTURE: SCBEventExclusiveManager: EventType:APPEXIT_LANDSCAPE setEventExclusive false.
08-30 16:42:46.366  1418  1418 I A01b0a/GESTURE: SCBGestureNavBar --> [AIBAR] receive APP_EXIT_LANDSCAPE event, params=false
08-30 16:42:46.366  1418  1418 I A01b0a/GESTURE: SCBGestureNavBar --> isInExitLandScape is not change
08-30 16:42:46.366  1418  1418 W A01a00/SYS_UI: StatusBarShowHideManager --> onNotifyStatusBarShowHideEvent flag true, enableAnimation true, type 0, scene ScenePanelAnim
08-30 16:42:46.366  1418  1418 I A01b01/HOME: SCBSCS: setMotionBlurRadius: 0, caller: requestSceneContainerDestructionWithTransition end
08-30 16:42:46.367  1418  1418 I A01b00/SCB: LuoShuStateManager --> getLuoShuStateInfo: SCBScreenSM {"luoShuState":0,"scenePanelState":1,"eventType":7,"screenInfo":{"isLandscape":true,"foldState":1},"screenId":0,"holdingHandStatus":1}
08-30 16:42:46.429  1418  1418 I A01a00/SYS_UI: AnimationBase: Start animation: StatusBarSystemSceneOpacityAnimation[0]
08-30 16:42:46.429  1418  1418 I A01b00/SCB: ViewManagerPolicy --> updateOpacity opacity: 1
08-30 16:42:46.429  1418  1418 I A01b00/SCB: BaseViewController: updateOpacity opacity: 1
08-30 16:42:46.429  1418  1418 I A04204/WMSScb: setOpacity opacity: 1 this.sessionChangeCallback:[object Object]
08-30 16:42:46.429  1418  1418 I A04200/WINDOW: SCBSystemScene: onOpacityChange: 1 systemName: SCBStatusBar19
08-30 16:42:46.430  1418  1418 I A01a00/SYS_UI: BannerManager: statusBarIsVisible: true
08-30 16:42:46.430  1418  1418 I A01a00/SYS_UI: BaseStateManagerAdapter: getBannerState
08-30 16:42:46.430  1418  1418 I A01a00/SYS_UI: SystemUI_BannerVm --> statusBarIsVisible: true
08-30 16:42:46.430  1418  1418 I A01a00/SYS_UI: SystemUI_BannerVm --> refreshBannerStyle start, isInRotateAnim false, displayWidth: 2880, bannerScreenWidth: 2880
08-30 16:42:46.431  1418  1418 I A01a00/SYS_UI: SystemUI_BannerVm --> refreshBannerStyle, marginTop:47, cardIWidth 328, itemWidth: 532, marginLeftRight: 454, marginStatusBarTop 8
08-30 16:42:46.431  1418  1418 I A01a00/SYS_UI: BannerManager: refreshBannerStyle. displayWidth: 2880, displayHeight: 1920
08-30 16:42:46.431  1418  1418 I A01a00/SYS_UI: BannerManager: isBreak: true, isImmersive: false, statusBarIsVisible: true, 18 
08-30 16:42:46.431  1418  1418 I A01a00/SYS_UI: BannerManager: refreshBanner style marginTop:47, width 532
08-30 16:42:46.431  1418  1418 I A01a01/NC: BannerNotificationVm --> onBannerStyleChange 532 47 {"itemWidth":532,"containerWidth":532,"bannerTransY":0,"containerMarginTop":47,"containerMarginBottom":28,"containerMarginLeft":454,"containerMarginRight":454}
08-30 16:42:46.593  1418  1418 I A04200/WINDOW: SCBSPM: onBlurTransitionFinish 36 blurComponentTransitionCount:38
08-30 16:42:46.593  1418  1418 I A0001b/AA: OutSideWindowManager: globalSearchStatus: 0
08-30 16:42:46.593  1418  1418 I A01b09/RECENT: SCBDesktopCacheManager: setDesktopCacheWithDfx Validate cacheFlag:false reason:startBlurAnimation
08-30 16:42:46.657  1418  1418 I A01b0d/HICAR: TopAppManager --> COMMON_EVENT_TOP_APP_CHANGE success
08-30 16:42:46.693  1418  1418 W A01a00/SYS_UI: LiveCapsuleListVm: start to toggleCapsuleList, param:  {"isUpwards":true,"isUpdateImmediately":false,"needAnimation":true,"needShowStatusBar":false}
08-30 16:42:46.693  1418  1418 W A01a00/SYS_UI: LiveCapsuleListVm: Visible is not changed, stop toggleCapsuleList. isForceUpdate: undefined
08-30 16:42:46.876  1418  1418 I A04200/WINDOW: SCBScreen: [SCBKeyboardAnimate] finished, callingId: 525, isActive: false, animCnt: 0
08-30 16:42:46.877  1418  1418 I A0420b/WMSKeyboard: isKeyboardEnableShow old: true, new: false
08-30 16:42:46.877  1418  1418 I A04200/WINDOW: SCBScreen: [SCBKeyboardAnimate] notifyKeyboardAnimationCompleted, callingId: 525, isActive: false, animCnt: 0
08-30 16:42:46.877  1418  1418 I A0420b/WMSKeyboard: notifyKeyboardAnimationCompleted, callingId:525, isKeyboardShow:false
08-30 16:42:46.878  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: disableShow, newState: 1, curState: 4, name: AboveSpecificScene, isActive: false
08-30 16:42:46.879  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: disableShow, newState: 1, curState: 2, name: BelowSpecificScene, isActive: false
08-30 16:42:46.882  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: disableShow, newState: 1, curState: 6, name: AboveFloatContainerScene, isActive: false
08-30 16:42:46.882  1418  1418 I A0421d/WMSRotation: containerSession isVertical verticalRotation: 0, reverseVerticalRotation: 180, rotation: 270
08-30 16:42:46.883  1418  1418 I A01b01/HOME: SCBSceneContainer: issShowTransitionIconOrCard state is 0, isCombinationIcon:false
08-30 16:42:46.883  1418  1418 I A04200/WINDOW: SCBScene: [SCBKeyboard] persistentId 525 isKeyboardEnableShow change false
08-30 16:42:46.883  1418  1418 I A01b01/HOME: SCBSceneContainer: isAnimSnapshotShow false, isShowContainerSnapshot.
08-30 16:42:46.884  1418  1418 I A01b00/SCB: LuoShuStateManager --> getLuoShuStateInfo: WMUtils {"luoShuState":0,"scenePanelState":1,"eventType":7,"screenInfo":{"isLandscape":true,"foldState":1},"screenId":0,"holdingHandStatus":1}
08-30 16:42:46.885  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: disableShow, newState: 1, curState: 1, name: BelowScenePanel, isActive: false
08-30 16:42:46.885  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: HideKeyboard id: 548, name: BelowScenePanel
08-30 16:42:46.885  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: aboutToDisappear, name:BelowScenePanel
08-30 16:42:46.885  1418  1418 I A0420b/WMSKeyboard: unRegisterRectChangeCallbackOfKeyboardPanel, size:3, name:BelowScenePanel
08-30 16:42:46.886  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: Keyboard aboutToDisappear, name: BelowScenePanel, refCount: 0
08-30 16:42:46.886  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: disableShow, newState: 1, curState: 4, name: AboveSpecificScene, isActive: false
08-30 16:42:46.886  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: disableShow, newState: 1, curState: 2, name: BelowSpecificScene, isActive: false
